cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,controller_kind,cpu_usage
739,945,1493,1058,77,DaemonSet,0.8687575148946189
906,561,1584,1099,48,Deployment,0.867189415307574
651,311,1617,1363,23,DaemonSet,0.5070883918611536
810,709,1876,1854,82,StatefulSet,0.8544056320703663
688,603,1359,1458,33,Deployment,0.37342196981824916
470,744,1975,1701,5,DaemonSet,0.643538102513206
991,542,1808,1518,86,Deployment,0.694434652393677
637,892,1322,1684,71,StatefulSet,0.2500844067559329
964,606,1607,1571,86,Deployment,0.7707805062836571
465,820,1126,1431,55,Deployment,0.9389783081516611
914,140,1012,1687,57,Deployment,0.8062343354017989
433,184,1555,1368,96,StatefulSet,0.823635759794051
373,829,1036,1016,71,StatefulSet,0.5750122352372077
108,944,1104,1946,64,StatefulSet,0.37701022783425364
764,255,1673,1901,85,StatefulSet,0.6985075772653171
917,440,1212,1677,58,StatefulSet,0.8111581373431165
564,285,1010,1855,55,DaemonSet,0.13281137826020806
389,661,1872,1501,74,DaemonSet,0.549084652882085
613,720,1813,1684,56,Deployment,0.7881564139005726
150,611,1590,1122,26,StatefulSet,0.08157883581397896
347,753,1038,1200,16,Deployment,0.7283676441496616
894,288,1222,1993,25,DaemonSet,0.5968578118254237
982,992,1316,1340,10,DaemonSet,0.7039950168433323
156,529,1819,1416,79,StatefulSet,0.1371957485568066
141,920,1458,1838,86,StatefulSet,0.06717143546021775
614,889,1257,1722,58,Deployment,0.6609208600501398
823,355,1675,1709,68,DaemonSet,0.43339222353906215
269,352,1255,1744,83,DaemonSet,0.13702165003245592
502,539,1849,1110,2,StatefulSet,0.48265152131640876
672,315,1562,1886,57,DaemonSet,0.7617740102916046
433,682,1910,1879,24,DaemonSet,0.9504211696994515
296,851,1518,1052,15,StatefulSet,0.026493122436347938
817,832,1589,1483,28,DaemonSet,0.7075261236222495
671,180,1503,1174,96,DaemonSet,0.852224274171311
398,839,1978,1893,77,Deployment,0.5499446514642208
213,305,1536,1526,18,DaemonSet,0.352472117220461
950,346,1538,1570,31,Deployment,0.08349952010341155
131,748,1822,1152,17,Deployment,0.7223572085667789
604,287,1582,1758,49,Deployment,0.019379935652611868
242,552,1407,1668,13,Deployment,0.2091673761517463
852,563,1831,1227,70,StatefulSet,0.7561581048926255
662,522,1593,1154,3,Deployment,0.47907033269506716
685,949,1754,1796,83,DaemonSet,0.8239383943679354
567,742,1222,1918,34,DaemonSet,0.9303077758965366
230,618,1647,1513,79,DaemonSet,0.9561774962644902
426,752,1033,1216,72,StatefulSet,0.8072847781227781
859,490,1145,1529,48,Deployment,0.06551196440929064
383,619,1347,1551,72,DaemonSet,0.1760198308930443
293,701,1430,1550,47,Deployment,0.5898213181192459
504,252,1368,1782,83,StatefulSet,0.988891775745729
334,388,1794,1821,63,Deployment,0.547509074377318
308,586,1517,1395,91,Deployment,0.33947955721016543
763,885,1837,1619,45,DaemonSet,0.2733969940705384
154,597,1434,1876,38,DaemonSet,0.7645116340482546
964,716,1156,1192,3,Deployment,0.8239282414907881
783,847,1328,1320,39,Deployment,0.7738398289692969
110,322,1528,1753,73,Deployment,0.6688881852137307
569,593,1764,1634,74,StatefulSet,0.22855698178454242
302,318,1249,1822,92,StatefulSet,0.23257461370004284
461,402,1419,1242,64,DaemonSet,0.058084208473389354
817,920,1505,1930,42,Deployment,0.5414018571235374
971,974,1935,1384,32,DaemonSet,0.24851819356812532
960,959,1976,1375,66,StatefulSet,0.2799287682237095
580,926,1220,1443,7,StatefulSet,0.9555277102536172
387,814,1897,1681,95,Deployment,0.1737126567989693
655,461,1039,1644,30,Deployment,0.7336874564037158
120,469,1202,1738,74,Deployment,0.6060613504634152
349,946,1657,1325,25,Deployment,0.22416284306542666
835,245,1289,1616,65,Deployment,0.9970399291032189
795,507,1367,1642,36,DaemonSet,0.5334128480002392
477,877,1317,1265,43,DaemonSet,0.0849969736283831
129,573,1557,1546,25,DaemonSet,0.41146520346784354
652,792,1435,1223,61,DaemonSet,0.8257565790582775
163,864,1548,1011,94,StatefulSet,0.5474430762801198
633,165,1582,1573,2,Deployment,0.052999666789922184
480,565,1943,1531,20,Deployment,0.43981681530394967
817,730,1801,1361,53,StatefulSet,0.9346891489446084
777,265,1468,1080,75,Deployment,0.23711046633136268
282,604,1994,1624,90,StatefulSet,0.1864035149252613
361,799,1221,1618,30,DaemonSet,0.05112991575383985
343,219,1980,1756,7,DaemonSet,0.7519643900616048
375,395,1458,1279,63,Deployment,0.33755397967665157
264,829,1706,1315,40,StatefulSet,0.3643908144063197
275,496,1343,1840,27,Deployment,0.8161016132795881
845,189,1645,1660,65,DaemonSet,0.5372509383670103
955,714,1277,1567,72,StatefulSet,0.9286308225130235
596,200,1731,1649,52,StatefulSet,0.7697045036104562
556,604,1816,1740,67,Deployment,0.6571320504964894
961,574,1930,1961,67,DaemonSet,0.10337359462367068
867,144,1715,1892,36,DaemonSet,0.19276913441274535
717,141,1959,1080,38,Deployment,0.15960626871715877
173,778,1308,1085,63,DaemonSet,0.6895700966298084
337,187,1016,1832,31,StatefulSet,0.47102010412877804
653,875,1206,1032,31,DaemonSet,0.8227974044725379
925,691,1021,1893,34,DaemonSet,0.5678187686594308
322,170,1512,1466,18,Deployment,0.8434961026030455
174,568,1491,1485,99,StatefulSet,0.299951630456325
712,653,1437,1275,34,Deployment,0.07477467589544928
587,557,1993,1239,67,DaemonSet,0.0683574719727571
113,652,1023,1016,82,Deployment,0.44569712080629154
